"","nuts_id","type_of_class","month_date","year_date","MIS","statistical_unit"
"1","DE111","Agriculture",2,2017,1,"nuts3"
"2","DE111","Agriculture",2,2019,1,"nuts3"
"3","DE111","Agriculture",2,2020,1,"nuts3"
"4","DE111","Agriculture",3,2019,2,"nuts3"
"5","DE111","Agriculture",4,2012,1,"nuts3"
"6","DE111","Agriculture",5,2003,1,"nuts3"
"7","DE111","Agriculture",5,2007,1,"nuts3"
"8","DE111","Agriculture",5,2011,2,"nuts3"
"9","DE111","Agriculture",6,2016,1,"nuts3"
"10","DE111","Agriculture",6,2019,2,"nuts3"
"11","DE111","Agriculture",7,2017,1,"nuts3"
"12","DE111","Agriculture",7,2018,5,"nuts3"
"13","DE111","Agriculture",7,2019,1,"nuts3"
"14","DE111","Agriculture",7,2020,1,"nuts3"
"15","DE111","Agriculture",8,2003,1,"nuts3"
"16","DE111","Agriculture",8,2014,1,"nuts3"
"17","DE111","Agriculture",8,2015,2,"nuts3"
"18","DE111","Agriculture",8,2018,5,"nuts3"
"19","DE111","Agriculture",8,2019,2,"nuts3"
"20","DE111","Agriculture",8,2020,1,"nuts3"
"21","DE111","Agriculture",9,2003,1,"nuts3"
"22","DE111","Agriculture",9,2018,4,"nuts3"
"23","DE111","Agriculture",10,2018,2,"nuts3"
"24","DE111","Agriculture",10,2019,1,"nuts3"
"25","DE111","Agriculture",11,2004,1,"nuts3"
"26","DE111","Agriculture",11,2020,1,"nuts3"
"27","DE111","Agriculture",12,2018,3,"nuts3"
"28","DE111","Agriculture",12,2020,2,"nuts3"
"29","DE111","Forestry",5,2011,1,"nuts3"
"30","DE111","Forestry",5,2019,1,"nuts3"
"31","DE111","Forestry",5,2020,3,"nuts3"
"32","DE111","Forestry",6,2020,1,"nuts3"
"33","DE111","Forestry",7,2018,2,"nuts3"
"34","DE111","Forestry",7,2019,1,"nuts3"
"35","DE111","Forestry",7,2020,1,"nuts3"
"36","DE111","Forestry",8,2015,1,"nuts3"
"37","DE111","Forestry",8,2018,5,"nuts3"
"38","DE111","Forestry",8,2020,3,"nuts3"
"39","DE111","Forestry",9,2018,1,"nuts3"
"40","DE111","Forestry",9,2019,3,"nuts3"
"41","DE111","Forestry",9,2020,3,"nuts3"
"42","DE111","Forestry",10,2003,1,"nuts3"
"43","DE111","Forestry",10,2005,1,"nuts3"
"44","DE111","Forestry",10,2018,3,"nuts3"
"45","DE111","Forestry",10,2019,3,"nuts3"
"46","DE111","Forestry",10,2020,1,"nuts3"
"47","DE111","Forestry",11,2005,1,"nuts3"
"48","DE111","Forestry",11,2019,2,"nuts3"
"49","DE111","Forestry",11,2020,2,"nuts3"
"50","DE111","Forestry",12,2014,1,"nuts3"
"51","DE111","Forestry",12,2018,1,"nuts3"
"52","DE111","Livestock",1,2019,1,"nuts3"
"53","DE111","Livestock",3,2016,1,"nuts3"
"54","DE111","Livestock",3,2019,2,"nuts3"
"55","DE111","Livestock",4,2019,1,"nuts3"
"56","DE111","Livestock",5,2003,1,"nuts3"
"57","DE111","Livestock",5,2007,2,"nuts3"
"58","DE111","Livestock",5,2014,1,"nuts3"
"59","DE111","Livestock",6,2019,1,"nuts3"
"60","DE111","Livestock",7,2006,1,"nuts3"
"61","DE111","Livestock",7,2008,1,"nuts3"
"62","DE111","Livestock",7,2015,1,"nuts3"
"63","DE111","Livestock",7,2017,1,"nuts3"
"64","DE111","Livestock",7,2018,4,"nuts3"
